"","H1.Bulk.28.FD.mapped.bam","H1.Bulk.29.mapped.bam","H1.Bulk.30.mapped.bam","H1.Bulk.Litter.4.mapped.bam","H1.Bulk.Litter.5.mapped.bam","H1.Bulk.Litter.6.mapped.bam","H1.Rhizo.25.mapped.bam","H1.Rhizo.26.FD.mapped.bam","H1.Rhizo.27.mapped.bam","H1.Rhizo.Litter.1.mapped.bam","H1.Rhizo.Litter.2.mapped.bam","H1.Rhizo.Litter.3.mapped.bam","H2.Bulk.34.mapped.bam","H2.Bulk.35.mapped.bam","H2.Bulk.36.mapped.bam","H2.Bulk.Litter.10.mapped.bam","H2.Bulk.Litter.11.mapped.bam","H2.Bulk.Litter.12.mapped.bam","H2.Bulk.Litter.50.mapped.bam","H2.Rhizo.31.mapped.bam","H2.Rhizo.32.mapped.bam","H2.Rhizo.33.mapped.bam","H2.Rhizo.Litter.49.mapped.bam","H2.Rhizo.Litter.7.mapped.bam","H2.Rhizo.Litter.8.mapped.bam","H2.Rhizo.Litter.9.mapped.bam","H3.Bulk.40.mapped.bam","H3.Bulk.41.mapped.bam","H3.Bulk.42.mapped.bam","H3.Bulk.Litter.16.mapped.bam","H3.Bulk.Litter.17.mapped.bam","H3.Rhizo.37.mapped.bam","H3.Rhizo.39.mapped.bam","H3.Rhizo.Litter.13.mapped.bam","H3.Rhizo.Litter.14.mapped.bam","H3.Rhizo.Litter.15.mapped.bam","H4.Bulk.46.mapped.bam","H4.Bulk.47.mapped.bam","H4.Bulk.48.mapped.bam","H4.Bulk.Litter.22.mapped.bam","H4.Bulk.Litter.23.mapped.bam","H4.Bulk.Litter.24.mapped.bam","H4.Rhizo.43.mapped.bam","H4.Rhizo.44.mapped.bam","H4.Rhizo.45.mapped.bam","H4.Rhizo.Litter.19.mapped.bam","H4.Rhizo.Litter.20.mapped.bam","H4.Rhizo.Litter.21.mapped.bam"
"H1_Bulk_28_FD_scaffold_1059_2",71,91,81,30,48,24,32,78,50,25,63,43,55,54,15,36,45,32,41,76,41,91,72,36,28,9,38,59,26,41,31,14,0,29,48,38,74,55,45,42,58,63,21,23,34,26,28,45
"H1_Bulk_28_FD_scaffold_1229_1",82,112,154,51,86,25,86,134,189,58,99,59,53,93,79,52,32,35,69,86,75,53,253,70,35,5,84,56,66,76,48,45,22,23,34,70,204,245,231,170,70,159,187,124,154,121,80,112
"H1_Bulk_28_FD_scaffold_1229_2",16,45,95,15,33,6,28,59,103,22,44,24,12,18,43,31,10,4,14,14,29,16,83,22,13,2,30,12,18,29,12,29,0,8,13,12,69,91,77,84,18,53,53,61,45,82,19,51
"H1_Bulk_28_FD_scaffold_1229_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_1243_2",18,11,9,9,4,4,13,10,10,3,9,4,5,8,2,10,8,13,6,4,6,7,10,2,5,1,13,12,7,6,5,1,0,1,9,11,25,14,10,10,7,10,11,6,14,10,10,7
"H1_Bulk_28_FD_scaffold_1258_2",9,4,5,2,4,3,6,8,3,4,2,9,6,5,3,5,8,5,3,7,10,5,7,6,4,0,9,7,9,8,5,1,0,2,8,3,10,9,12,11,6,8,16,6,10,7,9,8
"H1_Bulk_28_FD_scaffold_1258_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_1258_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_1304_2",19,12,10,2,5,11,22,19,12,2,12,17,23,17,13,9,9,5,9,12,13,11,17,6,10,0,20,19,13,14,14,11,0,10,18,17,1,5,3,8,1,7,12,1,1,1,3,5
"H1_Bulk_28_FD_scaffold_1383_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_1398_2",8,5,5,0,3,4,8,4,7,1,6,4,5,1,4,1,1,1,3,6,5,5,3,5,3,0,1,6,4,3,2,1,0,2,7,2,2,3,1,3,3,6,0,3,0,3,0,2
