	condition	harvest	location	treatment	loc_treat	microcosm	order
H1_Bulk_28	H1_Bulk_NoLitter	H1	Bulk	NoLitter	Bulk_NoLitter	m13	35
H1_Bulk_29	H1_Bulk_NoLitter	H1	Bulk	NoLitter	Bulk_NoLitter	m14	41
H1_Bulk_30	H1_Bulk_NoLitter	H1	Bulk	NoLitter	Bulk_NoLitter	m15	22
H1_BulkLitter_4	H1_Bulk_Litter	H1	Bulk	Litter	Bulk_Litter	m1	7
H1_BulkLitter_5	H1_Bulk_Litter	H1	Bulk	Litter	Bulk_Litter	m2	14
H1_BulkLitter_6	H1_Bulk_Litter	H1	Bulk	Litter	Bulk_Litter	m3	10
H1_Rhizo_25	H1_Rhizo_NoLitter	H1	Rhizo	NoLitter	Rhizo_NoLitter	m13	34
H1_Rhizo_26	H1_Rhizo_NoLitter	H1	Rhizo	NoLitter	Rhizo_NoLitter	m14	33
H1_Rhizo_27	H1_Rhizo_NoLitter	H1	Rhizo	NoLitter	Rhizo_NoLitter	m15	32
H1_RhizoLitter_1	H1_Rhizo_Litter	H1	Rhizo	Litter	Rhizo_Litter	m1	9
H1_RhizoLitter_2	H1_Rhizo_Litter	H1	Rhizo	Litter	Rhizo_Litter	m2	13
H1_RhizoLitter_3	H1_Rhizo_Litter	H1	Rhizo	Litter	Rhizo_Litter	m3	8
H2_Bulk_34	H2_Bulk_NoLitter	H2	Bulk	NoLitter	Bulk_NoLitter	m16	36
H2_Bulk_35	H2_Bulk_NoLitter	H2	Bulk	NoLitter	Bulk_NoLitter	m17	23
H2_Bulk_36	H2_Bulk_NoLitter	H2	Bulk	NoLitter	Bulk_NoLitter	m18	28
H2_BulkLitter_10	H2_Bulk_Litter	H2	Bulk	Litter	Bulk_Litter	m4	1
H2_BulkLitter_11	H2_Bulk_Litter	H2	Bulk	Litter	Bulk_Litter	m5	3
H2_BulkLitter_12	H2_Bulk_Litter	H2	Bulk	Litter	Bulk_Litter	m6	2
H2_BulkLitter_50	H2_Bulk_Litter	H2	Bulk	Litter	Bulk_Litter	m25	47
H2_Rhizo_31	H2_Rhizo_NoLitter	H2	Rhizo	NoLitter	Rhizo_NoLitter	m16	24
H2_Rhizo_32	H2_Rhizo_NoLitter	H2	Rhizo	NoLitter	Rhizo_NoLitter	m17	42
H2_Rhizo_33	H2_Rhizo_NoLitter	H2	Rhizo	NoLitter	Rhizo_NoLitter	m18	25
H2_RhizoLitter_49	H2_Rhizo_Litter	H2	Rhizo	Litter	Rhizo_Litter	m25	45
H2_RhizoLitter_7	H2_Rhizo_Litter	H2	Rhizo	Litter	Rhizo_Litter	m4	12
H2_RhizoLitter_8	H2_Rhizo_Litter	H2	Rhizo	Litter	Rhizo_Litter	m5	11
H2_RhizoLitter_9	H2_Rhizo_Litter	H2	Rhizo	Litter	Rhizo_Litter	m6	46
H3_Bulk_40	H3_Bulk_NoLitter	H3	Bulk	NoLitter	Bulk_NoLitter	m19	37
H3_Bulk_41	H3_Bulk_NoLitter	H3	Bulk	NoLitter	Bulk_NoLitter		39
H3_Bulk_42	H3_Bulk_NoLitter	H3	Bulk	NoLitter	Bulk_NoLitter	m21	38
H3_BulkLitter_16	H3_Bulk_Litter	H3	Bulk	Litter	Bulk_Litter	m7	6
H3_BulkLitter_17	H3_Bulk_Litter	H3	Bulk	Litter	Bulk_Litter	m8	16
H3_Rhizo_37	H3_Rhizo_NoLitter	H3	Rhizo	NoLitter	Rhizo_NoLitter	m19	26
H3_Rhizo_39	H3_Rhizo_NoLitter	H3	Rhizo	NoLitter	Rhizo_NoLitter	m21	27
H3_RhizoLitter_13	H3_Rhizo_Litter	H3	Rhizo	Litter	Rhizo_Litter	m7	4
H3_RhizoLitter_14	H3_Rhizo_Litter	H3	Rhizo	Litter	Rhizo_Litter	m8	15
H3_RhizoLitter_15	H3_Rhizo_Litter	H3	Rhizo	Litter	Rhizo_Litter		5
H4_Bulk_46	H4_Bulk_NoLitter	H4	Bulk	NoLitter	Bulk_NoLitter	m22	44
H4_Bulk_47	H4_Bulk_NoLitter	H4	Bulk	NoLitter	Bulk_NoLitter	m23	30
H4_Bulk_48	H4_Bulk_NoLitter	H4	Bulk	NoLitter	Bulk_NoLitter	m24	31
H4_BulkLitter_22	H4_Bulk_Litter	H4	Bulk	Litter	Bulk_Litter	m10	19
H4_BulkLitter_23	H4_Bulk_Litter	H4	Bulk	Litter	Bulk_Litter	m11	20
H4_BulkLitter_24	H4_Bulk_Litter	H4	Bulk	Litter	Bulk_Litter	m12	21
H4_Rhizo_43	H4_Rhizo_NoLitter	H4	Rhizo	NoLitter	Rhizo_NoLitter	m22	43
H4_Rhizo_44	H4_Rhizo_NoLitter	H4	Rhizo	NoLitter	Rhizo_NoLitter	m23	40
H4_Rhizo_45	H4_Rhizo_NoLitter	H4	Rhizo	NoLitter	Rhizo_NoLitter	m24	29
H4_RhizoLitter_19	H4_Rhizo_Litter	H4	Rhizo	Litter	Rhizo_Litter	m10	18
H4_RhizoLitter_20	H4_Rhizo_Litter	H4	Rhizo	Litter	Rhizo_Litter	m11	17
H4_RhizoLitter_21	H4_Rhizo_Litter	H4	Rhizo	Litter	Rhizo_Litter	m12	48
