"ORF","MEROPS_id","NR_besthit","NR_taxonomy","Phylum","Class"
"ZL_S28_scaffold_725_6","MER0337211_S41A","WP_029583153.1 S41 family peptidase ","Bradyrhizobium sp. URHD0069","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_4012_3","MER0337211_S41A","OJY44337.1 peptidase S41 ","Rhizobiales bacterium 64-17","Proteobacteria","Alphaproteobacteria"
"VL_S33_scaffold_44376_1","MER0348838_M48B","WP_090852469.1 zinc metalloprotease HtpX ","Nocardioides lianchengensis","Actinobacteria","Actinobacteria"
"UL_S35_scaffold_21894_2","MER0338430_S41B","OFW07445.1 protease ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria",""
"SL_S38_scaffold_12743_2","MER0027581_S41A","WP_079569868.1 S41 family peptidase ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_4012_3","MER0307081_S41A","WP_068030465.1 S41 family peptidase ","Rhodoplanes sp. Z2-YC6860","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_6189_2","MER1017926_S14","OLB79583.1 ATP-dependent Clp protease proteolytic subunit ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"SH_S37_scaffold_72226_1","MER0877058_M41","WP_069764637.1 ATP-dependent zinc metalloprotease FtsH ","Streptomyces sp. LUP47B","Actinobacteria","Actinobacteria"
"SL_S38_scaffold_10207_3","MER0407412_S01C","OLB72848.1 serine peptidase ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"UL_S35_scaffold_28838_2","MER0461758_C82B","WP_028349301.1 L,D-transpeptidase ","Bradyrhizobium elkanii","Proteobacteria","Alphaproteobacteria"
"UM_S36_scaffold_62055_3","MER0088776_M24A","SNR98480.1 methionine aminopeptidase, type I ","Geodermatophilus pulveris","Actinobacteria","Actinobacteria"
"SM_S39_scaffold_26209_1","MER0337211_S41A","WP_115693009.1 S41 family peptidase ","Pseudolabrys taiwanensis","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_2489_4","MER0337792_S41A","PYR49034.1 S41 family peptidase ","Acidobacteria bacterium","Acidobacteria",""
"SH_S37_scaffold_465_31","MER0133108_M41","WP_015796974.1 ATP-dependent zinc metalloprotease FtsH ","Catenulispora acidiphila","Actinobacteria","Actinobacteria"
"SH_S37_scaffold_110352_1","MER0099641_S01C","PZN27763.1 protease ","Proteobacteria bacterium","Proteobacteria",""
"SH_S37_scaffold_18789_2","MER0126565_S26A","PID37937.1 signal peptidase I ","Proteobacteria bacterium","Proteobacteria",""
"YH_S30_scaffold_3686_5","MER0303559_S41A","WP_056131617.1 MULTISPECIES: peptidase S41 ","Massilia","Proteobacteria","Betaproteobacteria"
"SH_S37_scaffold_13662_1","MER0138766_M41","WP_023458538.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein ","Asticcacaulis sp. AC466","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_2619_2","MER0337755_S41A","WP_056134435.1 MULTISPECIES: S41 family peptidase ","Massilia","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_33831_1","MER0336965_S41A","WP_081200213.1 tail-specific protease ","Niastella yeongjuensis","Bacteroidetes","Chitinophagia"
"YH_S30_scaffold_26257_3","MER0178978_M04","WP_054235462.1 MULTISPECIES: M4 family peptidase ","Streptomyces","Actinobacteria","Actinobacteria"
"SH_S37_scaffold_22738_4","MER0235743_M01","RMH41929.1 peptidase M1 ","Deltaproteobacteria bacterium","Proteobacteria","Deltaproteobacteria"
"SM_S39_scaffold_26209_1","MER0307081_S41A","WP_096358681.1 S41 family peptidase ","Variibacter gotjawalensis","Proteobacteria","Alphaproteobacteria"
"YL_S31_scaffold_39586_1","MER1056526_S41A","WP_057857338.1 S41 family peptidase ","Bradyrhizobium lablabi","Proteobacteria","Alphaproteobacteria"
"ZL_S28_scaffold_1535_2","MER0088776_M24A","OFW03975.1 type I methionyl aminopeptidase ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria",""
"SL_S38_scaffold_13352_3","MER0312659_S46","OJV97907.1 serine protease ","Sphingobacteriales bacterium 44-61","Bacteroidetes","Sphingobacteriia"
"SL_S38_scaffold_6189_2","MER1017926_S14","OLB79583.1 ATP-dependent Clp protease proteolytic subunit ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_26257_3","MER0178978_M04","WP_095934206.1 peptidase M4 family protein ","Streptomyces sp. Tue6028","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_22424_2","MER0888450_M48C","WP_082577097.1 MULTISPECIES: M48 family peptidase ","Massilia","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_21894_2","MER0338430_S41B","OFW07445.1 protease ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria",""
"SL_S38_scaffold_1017_8","MER1056526_S41A","WP_100420370.1 S41 family peptidase ","Bradyrhizobium lablabi","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_61588_1","MER0187506_S46","OLC17626.1 serine protease ","Deltaproteobacteria bacterium 13_1_40CM_68_24","Proteobacteria","Deltaproteobacteria"
"SH_S37_scaffold_96_70","MER0200968_M04","WP_081219523.1 peptidase M4 ","Streptomyces sp. M41(2017)","Actinobacteria","Actinobacteria"
"SH_S37_scaffold_20899_3","MER0176697_U62","RMH41470.1 metalloprotease TldD ","Deltaproteobacteria bacterium","Proteobacteria","Deltaproteobacteria"
"YH_S30_scaffold_10615_3","MER0982217_S11","WP_056126937.1 MULTISPECIES: D-alanyl-D-alanine carboxypeptidase ","Massilia","Proteobacteria","Betaproteobacteria"
"ZL_S28_scaffold_3809_5","MER0337991_S41A","OGA72060.1 peptidase S41 ","Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_65_14","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_231_8","MER0300812_M41","WP_119743166.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein ","Herbaspirillum sp. K2R10-39","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_231_8","MER0300815_M41","WP_036234132.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein ","Massilia sp. JS1662","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_28838_2","MER0741683_C82A","WP_079605595.1 L,D-transpeptidase ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria"
"SH_S37_scaffold_110352_1","MER0099641_S01C","PZN27763.1 protease ","Proteobacteria bacterium","Proteobacteria",""
"SH_S37_scaffold_22738_4","MER0235743_M01","WP_120629073.1 peptidase M1 ","Corallococcus sp. CA040B","Proteobacteria","Deltaproteobacteria"
"SM_S39_scaffold_26209_1","MER0307081_S41A","WP_115693009.1 S41 family peptidase ","Pseudolabrys taiwanensis","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_7496_3","MER0311852_M13","WP_056445162.1 M13 family peptidase ","Massilia sp. Root335","Proteobacteria","Betaproteobacteria"
"YM_S32_scaffold_4548_1","MER0016036_S49B","WP_119737779.1 S49 family peptidase ","Herbaspirillum sp. K2R10-39","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_2755_6","MER0965578_S01B","WP_075792415.1 serine protease ","Massilia putida","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_6448_2","MER0320949_M28A","SDD10773.1 Zn-dependent amino-or carboxypeptidase, M28 family ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_426_11","MER0337755_S41A","WP_075794030.1 S41 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_4755_5","MER0078502_M13","WP_036235467.1 M13 family peptidase ","Massilia sp. JS1662","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_5570_8","MER0966427_S01B","KQV52141.1 serine peptidase ","Massilia sp. Root335","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_3405_4","MER0817533_M03A","WP_036237744.1 M3 family peptidase ","Massilia sp. JS1662","Proteobacteria","Betaproteobacteria"
"SM_S39_scaffold_26209_1","MER0307081_S41A","WP_115693009.1 S41 family peptidase ","Pseudolabrys taiwanensis","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_15225_2","MER0174395_S41A","PYO68337.1 peptidase S41 ","Gemmatimonadetes bacterium","Gemmatimonadetes",""
"YH_S30_scaffold_1544_3","MER0042310_M41","SDF72856.1 membrane protease FtsH catalytic subunit ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
