V1	V2	V3	V4	V5	V6
H1_Bulk_28_FD_scaffold_1059_2	H1_Bulk_28_FD_scaffold_1059_2	K00368	125	1828	-1
H1_Bulk_28_FD_scaffold_1229_1	H1_Bulk_28_FD_scaffold_1229_1	K02926	1	576	1
H1_Bulk_28_FD_scaffold_1229_2	H1_Bulk_28_FD_scaffold_1229_2	K02886	658	1491	1
H1_Bulk_28_FD_scaffold_1229_3	H1_Bulk_28_FD_scaffold_1229_3	K02965	1527	1808	1
H1_Bulk_28_FD_scaffold_1243_2	H1_Bulk_28_FD_scaffold_1243_2	K00370	87	1736	-1
H1_Bulk_28_FD_scaffold_1258_2	H1_Bulk_28_FD_scaffold_1258_2	K02994	369	764	1
H1_Bulk_28_FD_scaffold_1258_3	H1_Bulk_28_FD_scaffold_1258_3	K02933	776	1312	1
H1_Bulk_28_FD_scaffold_1258_4	H1_Bulk_28_FD_scaffold_1258_4	K02881	1325	1687	1
H1_Bulk_28_FD_scaffold_1304_2	H1_Bulk_28_FD_scaffold_1304_2	K02946	81	389	-1
H1_Bulk_28_FD_scaffold_1383_3	H1_Bulk_28_FD_scaffold_1383_3	K02961	830	1102	1
H1_Bulk_28_FD_scaffold_1398_2	H1_Bulk_28_FD_scaffold_1398_2	K02926	250	873	1
H1_Bulk_28_FD_scaffold_1398_4	H1_Bulk_28_FD_scaffold_1398_4	K02886	1161	1679	1
H1_Bulk_28_FD_scaffold_1518_1	H1_Bulk_28_FD_scaffold_1518_1	K02931	2	235	1
H1_Bulk_28_FD_scaffold_1518_4	H1_Bulk_28_FD_scaffold_1518_4	K02933	982	1518	1
H1_Bulk_28_FD_scaffold_1645_1	H1_Bulk_28_FD_scaffold_1645_1	K00371	17	1561	-1
H1_Bulk_28_FD_scaffold_1664_2	H1_Bulk_28_FD_scaffold_1664_2	K02946	456	764	1
H1_Bulk_28_FD_scaffold_1664_3	H1_Bulk_28_FD_scaffold_1664_3	K02906	822	1535	1
H1_Bulk_28_FD_scaffold_1827_2	H1_Bulk_28_FD_scaffold_1827_2	K02931	367	906	-1
H1_Bulk_28_FD_scaffold_1827_3	H1_Bulk_28_FD_scaffold_1827_3	K02874	915	1283	-1
H1_Bulk_28_FD_scaffold_1827_4	H1_Bulk_28_FD_scaffold_1827_4	K02961	1295	1531	-1
H1_Bulk_28_FD_scaffold_1878_1	H1_Bulk_28_FD_scaffold_1878_1	K10946	68	865	1
H1_Bulk_28_FD_scaffold_189_2	H1_Bulk_28_FD_scaffold_189_2	K02926	89	796	1
