transcript_id,MEROPS_id,pid_vs_MEROPS,eval_vs_MEROPS,bitscore_vs_MEROPS,NR_accession,pid_vs_NR,eval_vs_NR,bitscore_vs_NR,NR_besthit,NR_taxonomy
H1_Bulk_28_FD_scaffold_1138_2,MER0117821_S41A,79.3,1.50E-201,700.7,WP_037020046.1,83.8,7.90E-206,726.1,WP_037020046.1 S41 family peptidase ,Rhizobiales bacterium YIM 77505
H1_Bulk_28_FD_scaffold_1691_2,MER0337211_S41A,89.3,7.60E-222,768.1,WP_029583153.1,94.2,7.70E-233,815.8,WP_029583153.1 S41 family peptidase ,Bradyrhizobium sp. URHD0069
H1_Bulk_28_FD_scaffold_1911_2,MER0833115_M14A,27.2,1.90E-20,99,PYS35050.1,53,1.60E-126,462.6,PYS35050.1 peptidase M14 ,Acidobacteria bacterium
H1_Bulk_28_FD_scaffold_2069_1,MER0858151_M32,34.4,9.50E-74,276.2,AFU60058.1,85.9,2.90E-238,833.9,AFU60058.1 thermostable carboxypeptidase 1 ,Candidatus Nitrososphaera gargensis Ga9.2
H1_Bulk_28_FD_scaffold_2564_2,MER0088776_M24A,58.4,2.60E-82,303.9,SOD94073.1,91.6,2.20E-148,534.6,"SOD94073.1 methionine aminopeptidase, type I ",Blastococcus sp. DSM 44270
H1_Bulk_28_FD_scaffold_2863_1,MER0178978_M04,51.4,2.90E-78,290.8,PYX01758.1,79.2,6.30E-164,586.6,PYX01758.1 peptidase M4 family protein ,Acidobacteria bacterium
H1_Bulk_28_FD_scaffold_2911_1,MER0062937_S08A,33.1,2.30E-35,148.3,ACX43954.1,60.4,3.00E-110,408.3,ACX43954.1 cysteine protease 1 ,Brachiaria hybrid cultivar
H1_Bulk_28_FD_scaffold_3360_2,MER0408245_S01C,75.4,4.00E-146,516.2,OLB70704.1,89.5,5.50E-170,606.7,OLB70704.1 serine protease ,Alphaproteobacteria bacterium 13_2_20CM_2_64_7
H1_Bulk_28_FD_scaffold_3865_1,MER0316178_S55,35.4,1.10E-46,185.7,AOV09187.1,72.3,1.10E-124,456.1,AOV09187.1 peptidase ,Lysinibacillus sphaericus
H1_Bulk_28_FD_scaffold_4005_1,MER0306556_S41A,80.7,1.10E-173,607.8,ABQ32700.1,86.1,8.40E-180,639.4,"ABQ32700.1 C-terminal processing peptidase-3, Serine peptidase, MEROPS family S41A ",Bradyrhizobium sp. BTAi1
H1_Bulk_28_FD_scaffold_4423_1,MER0965778_S01B,50.2,4.60E-87,320.1,ALI37324.1,73.8,4.20E-139,504.2,ALI37324.1 Putative serine protease HtrA ,Candidatus Nitrosocosmicus oleophilus
H1_Bulk_28_FD_scaffold_4848_2,MER0246861_S26A,36.7,8.70E-23,105.9,PYR91170.1,92.5,4.10E-124,453.8,PYR91170.1 signal peptidase I ,Acidobacteria bacterium
H1_Bulk_28_FD_scaffold_4906_1,MER1014656_S49C,29.7,8.20E-08,55.8,SDT13163.1,91,3.30E-92,347.4,"SDT13163.1 ATP-dependent Clp protease, protease subunit ",Friedmanniella luteola
H1_Bulk_28_FD_scaffold_5759_1,MER0170050_M16B,56.5,3.60E-107,386.7,OLB74790.1,74.9,1.70E-139,505.4,OLB74790.1 peptidase M16 ,Alphaproteobacteria bacterium 13_2_20CM_2_64_7
H1_Bulk_28_FD_scaffold_6112_2,MER1015132_S14,29.9,8.20E-09,59.3,WP_046863336.1,92.3,1.60E-103,385.2,WP_046863336.1 ATP-dependent Clp protease proteolytic subunit ,Microvirga massiliensis
