"Transcript_id","MEROPS_id","NR_besthit","NR_taxonomy","Phylum","Class","func_group"
"H1_Bulk_28_FD_scaffold_1138_2","MER0117821_S41A","WP_037020046.1 S41 family peptidase ","Rhizobiales bacterium YIM 77505","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_28_FD_scaffold_1691_2","MER0337211_S41A","WP_029583153.1 S41 family peptidase ","Bradyrhizobium sp. URHD0069","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_28_FD_scaffold_1911_2","MER0833115_M14A","PYS35050.1 peptidase M14 ","Acidobacteria bacterium","Acidobacteria","","M"
"H1_Bulk_28_FD_scaffold_2069_1","MER0858151_M32","AFU60058.1 thermostable carboxypeptidase 1 ","Candidatus Nitrososphaera gargensis Ga9.2","Thaumarchaeota","Nitrososphaeria","M"
"H1_Bulk_28_FD_scaffold_2564_2","MER0088776_M24A","SOD94073.1 methionine aminopeptidase, type I ","Blastococcus sp. DSM 44270","Actinobacteria","Actinobacteria","M"
"H1_Bulk_28_FD_scaffold_2863_1","MER0178978_M04","PYX01758.1 peptidase M4 family protein ","Acidobacteria bacterium","Acidobacteria","","M"
"H1_Bulk_28_FD_scaffold_2911_1","MER0062937_S08A","ACX43954.1 cysteine protease 1 ","Brachiaria hybrid cultivar","Streptophyta","Magnoliopsida","S"
"H1_Bulk_28_FD_scaffold_3360_2","MER0408245_S01C","OLB70704.1 serine protease ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_28_FD_scaffold_3865_1","MER0316178_S55","AOV09187.1 peptidase ","Lysinibacillus sphaericus","Firmicutes","Bacilli","S"
"H1_Bulk_28_FD_scaffold_4005_1","MER0306556_S41A","ABQ32700.1 C-terminal processing peptidase-3, Serine peptidase, MEROPS family S41A ","Bradyrhizobium sp. BTAi1","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_28_FD_scaffold_4423_1","MER0965778_S01B","ALI37324.1 Putative serine protease HtrA ","Candidatus Nitrosocosmicus oleophilus","Thaumarchaeota","Nitrososphaeria","S"
"H1_Bulk_28_FD_scaffold_4848_2","MER0246861_S26A","PYR91170.1 signal peptidase I ","Acidobacteria bacterium","Acidobacteria","","S"
"H1_Bulk_28_FD_scaffold_4906_1","MER1014656_S49C","SDT13163.1 ATP-dependent Clp protease, protease subunit ","Friedmanniella luteola","Actinobacteria","Actinobacteria","S"
"H1_Bulk_28_FD_scaffold_5759_1","MER0170050_M16B","OLB74790.1 peptidase M16 ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria","M"
"H1_Bulk_28_FD_scaffold_6112_2","MER1015132_S14","WP_046863336.1 ATP-dependent Clp protease proteolytic subunit ","Microvirga massiliensis","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_0_18","MER0115692_C40","ATW62469.1 peptidase ","Streptomyces phage WRightOn","Uroviricota","Caudoviricetes","C"
"H1_Bulk_29_scaffold_10585_1","MER0337211_S41A","OJY44337.1 peptidase S41 ","Rhizobiales bacterium 64-17","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_10646_1","MER0178978_M04","KAK49096.1 peptidase M4 ","Caballeronia jiangsuensis","Proteobacteria","Betaproteobacteria","M"
"H1_Bulk_29_scaffold_10769_1","MER0248475_M10B","WP_027579112.1 peptidase M12 ","Bradyrhizobium sp. Ai1a-2","Proteobacteria","Alphaproteobacteria","M"
"H1_Bulk_29_scaffold_10942_2","MER0306369_M56","WP_086102160.1 M56 family metallopeptidase ","Chitinophagaceae bacterium IBVUCB2","Bacteroidetes","Chitinophagia","M"
"H1_Bulk_29_scaffold_11089_1","MER0159550_S09D","RPJ69626.1 S9 family peptidase ","Acidobacteria bacterium","Acidobacteria","","S"
"H1_Bulk_29_scaffold_11110_2","MER0088776_M24A","SNR49710.1 methionyl aminopeptidase ","Blastococcus sp. DSM 44272","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_11221_1","MER0946048_S10","PCE24765.1 peptidase S1 ","Pseudomonas mesoacidophila","Proteobacteria","Betaproteobacteria","S"
"H1_Bulk_29_scaffold_11546_1","MER0114401_S08B","KXK56527.1 carboxypeptidase ","Chlorobi bacterium OLB7","Chlorobi","","S"
"H1_Bulk_29_scaffold_11653_1","MER0178978_M04","WP_123489245.1 peptidase M4 family protein ","Granulicella sp. GAS466","Acidobacteria","Acidobacteriia","M"
"H1_Bulk_29_scaffold_11726_1","MER0038789_S01C","PWT72888.1 serine protease ","Bacteroidetes bacterium","Bacteroidetes","","S"
"H1_Bulk_29_scaffold_11732_1","MER0428736_C01A","WP_012507761.1 cysteine protease ","Pelodictyon phaeoclathratiforme","Chlorobi","Chlorobia","C"
"H1_Bulk_29_scaffold_11825_1","MER0117120_S41A","WP_037020046.1 S41 family peptidase ","Rhizobiales bacterium YIM 77505","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_1201_2","MER0491511_S14","WP_077012984.1 ATP-dependent Clp protease proteolytic subunit ","Kribbella sp. ALI-6-A","Actinobacteria","Actinobacteria","S"
"H1_Bulk_29_scaffold_12107_1","MER0965778_S01B","ALI37324.1 Putative serine protease HtrA ","Candidatus Nitrosocosmicus oleophilus","Thaumarchaeota","Nitrososphaeria","S"
"H1_Bulk_29_scaffold_12241_1","MER0130551_S09X","PYR37781.1 S9 family peptidase ","Acidobacteria bacterium","Acidobacteria","","S"
"H1_Bulk_29_scaffold_12467_2","MER0040798_M42","WP_084721265.1 osmoprotectant NAGGN system M42 family peptidase ","Skermanella aerolata","Proteobacteria","Alphaproteobacteria","M"
"H1_Bulk_29_scaffold_13269_1","MER0220261_S53","PYJ74684.1 serine protease ","Verrucomicrobia bacterium","Verrucomicrobia","","S"
"H1_Bulk_29_scaffold_13629_1","MER0089028_C14B","RIK99652.1 peptidase C14 ","Proteobacteria bacterium","Proteobacteria","","C"
"H1_Bulk_29_scaffold_1375_1","MER0220610_S15","WP_089335398.1 peptidase domain-containing ABC transporter ","Blastococcus sp. DSM 44272","Actinobacteria","Actinobacteria","S"
"H1_Bulk_29_scaffold_1380_1","MER0165580_M01","AFU60420.1 putative membrane alanyl aminopeptidase ","Candidatus Nitrososphaera gargensis Ga9.2","Thaumarchaeota","Nitrososphaeria","M"
"H1_Bulk_29_scaffold_13987_1","MER0289090_M13","WP_106351056.1 peptidase M13 ","Antricoccus suffuscus","","","M"
"H1_Bulk_29_scaffold_14051_2","MER0038789_S01C","OJW60620.1 serine protease ","Sphingobacteriales bacterium 50-39","Bacteroidetes","Sphingobacteriia","S"
"H1_Bulk_29_scaffold_14078_1","MER0337274_S41A","WP_047563927.1 S41 family peptidase ","Mesorhizobium sp. F7","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_14273_1","MER0963901_S01B","OLB70704.1 serine protease ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_14304_2","MER0080846_M14X","PYR95154.1 peptidase ","Acidobacteria bacterium","Acidobacteria","","M"
"H1_Bulk_29_scaffold_14352_1","MER0065537_M48C","PYQ38070.1 peptidase M48 ","Acidobacteria bacterium","Acidobacteria","","M"
"H1_Bulk_29_scaffold_14455_1","MER0133090_S53","WP_028969368.1 peptidase S8 ","Sphingomonas sp. URHD0057","Proteobacteria","Alphaproteobacteria","S"
